Barrier ID,Internal Name,Watercourse Name,Road Name,Structure Name,Passability Status (AS),Passability Status (AE),Passability Status (SM),Owner,Number Barriers Group (AS),Number Barriers Group (AE),Number Barriers Group (SM),Total Habitat Gain in Set - AS (km),Total Habitat Gain in Set - AE (km),Total Habitat Gain in Set - SM (km),Weighted Habitat Gain in Set - AS (km),Weighted Habitat Gain in Set - AE (km),Weighted Habitat Gain in Set - SM (km),Upstream Habitat Quality,Priority,Next Steps,Reason,Notes
87aefbb4-6d49-44d7-91ba-65f7447b13f5,Larkin's Pond,Naufrage River,Mill Rd,Dam,,0.25,,Ducks Unlimited,,1,,,15.9,,,11.9,,High,High,Fundraise,,Denil fish ladder present
b924ccbf-795d-4d42-a10a-a6b65a688707,Bear River beach,Bear River,Bear Shore Rd is nearest road,Other,,,,,,,,,,,,,,Medium,High,Rehabilitation,,Temporary fish passage was created (by diverting water into a deeper channel) and removing rock beavers. Barrier needs a long-term solution for salmon spawning run in the fall
6c5b743e-16ac-4d0b-9f18-741ca773cb00,Hay River beach ,Hay River,Leopold Ln,Dam,,0.75,,,,3,,,5.4,,,3.6,,High,High,Engage in public consultation,,"Multiple barrier site: barrier beach, 9 ft culvert with a fishway, and Johnston's Pond dam owned by Ducks Unlimited. Culvert was apparently replaced in 2020 but may not be working and causing fish passage issues.; The culvert is heavily degraded and sagging extensively, although technically still allowing for fish passage. The dam and fish ladder, however, is extremely fast flowing water and SAB mentioned that in certain flow conditions, fish would get stuck in the non-fish ladder side. "
59f2c06b-e33f-4a36-910b-3aa5226f575f,Bermuda Triangle,Bear River,Northside Rd - Rte 16,Stream crossing - CBS,,0.75,,,,4,,,9.1,,,4.9,,High,High,Engage with barrier owner,,"Alaskan fishway installed on hanging culvert - likely partial barrier due to fishway presence; Participants noted this may be a full barrier to smelt. Possibly no passage issues for eel and salmon. This culvert has an Alaskan fishway. ;This site it is located at the intersection of three roads (Bear River Rd X Northside Rd). The water flows downstream through an open arch culvert with a fish ladder and exits out a long, closed wooden box culvert. The space between both barriers is maybe ~15 ft and bordered by rock crib wall on both sides. A portion of the bottom of the box culvert at the outflow is degraded and leaking. Based on a visual assessment only, it could be a velocity-depth barrier at some point in low flows. Potential recommendations were made to add wood plank to one of the openings (river right) to force water to one side during low-flow events and allow passage on either side during high-flow events. "
12bf33df-e292-4171-8c4b-ec5a8005786f,Naufrage River - stream crossing 1,Naufrage River,Hermitage,Stream crossing - CBS,,0.5,,,,2,,,1.3,,,0.9,,Low,Medium,Engage with barrier owner,,
870159b1-13f3-4b0c-8822-8f8a3e602be5,North Lake Creek - stream crossing 2,North Lake Creek,Munns Rd,Stream crossing - CBS,,0,,,,1,,,2,,,2,,High,High,Engage with barrier owner,,"Notes: Extremely long, angled, undersized culvert, moderate deterioration, presence of outflow drop. Blocking 2.8 km of salmon and 2.45km of eel habitat. Recommendation: full removal of structure and replace with bridge/open bottom structure. "
2574c4bf-6f5d-45a4-95dd-2e17e5d7879e,North Lake Creek - stream crossing 3,North Lake Creek,Baltic Rd - Rte 302,Stream crossing - CBS,,0.5,,,,1,,,0.5,,,0.2,,Low,High,Engage with barrier owner,,
f44dbb6a-3ebd-4df9-b92b-1ff000905a5b,NLC Culvert DS of Dixon's (Millers) Dam,North Lake Creek,Baltic Rd - Rte 302,Stream crossing - CBS,,,,,,,,,,,,,,High,High,Engage with barrier owner,,
6c7376c5-52a1-49d1-b97d-5867ba85d5ae,Old Mill Creek Bridge,North Lake Creek,Mill Rd,Stream crossing - OBS,,,,,,,,,,,,,,High,High,Rehabilitation,,
f04e4d5d-1cac-4427-b153-5e36ca9f8647,Naufrage River - stream crossing 2,Naufrage River,St Charles Road,Stream crossing - CBS,0.5,,,,1,,,2.8,,,1.4,,,Low,Low,Habitat confirmation (for data deficient structures only),,Major issues with the angle of the culvert (75degE and 292deg NW); need to check if this is the site we thought the upstream habitat wasn't salmon habitat
